communityName,state,countyCode,communityCode,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
Salemcity,VA,775,70000,23756,2.59,4.48,94.6,,,,,,14.86,23756,100,29047,77.72,0.59,45.1,31.69,3.32,17.33,35619,14467,14746,10766,3256,7538,8347,8909,1116,5.16,10.42,23.91,17.85,2.39,61.98,16.85,25.01,17.44,24.72,10.49,26.46,12.49,11.55,2.87,76.78,73.88,85.9,79.09,66.7,75.08,239,1.43,401,9.23,19.2,23.94,34.16,0.16,0.32,0.4,0.58,97.06,0.39,1.87,1.32,2.37,2.46,2.18,70.03,0.92,39.07,3,448,95.34,67.43,0.67,20.98,1964,2.78,0.1,52700,69100,94400,41700,276,345,398,122,404,25.2,16.8,11.8,1,4,1.69,70.11,51.52,71.33,88.2,,,,,,,,,,,,,,,,,,15.1,1575.7,0.06,,,,,0,,,,,,,,,,,,607,2481.5,23,94.03,9,36.79,102.2,2959.81
Herndontown,VA,,,16139,2.96,9.65,77.61,,,,,,2.87,16139,100,53840,96.55,0.68,47.72,7.29,1.71,7.81,57557,19314,20980,14955,11320,12292,12961,14600,512,3.19,5.19,12.22,37.87,2.42,84.67,8.12,19.91,8.02,36.04,8.16,32.58,12.44,10.28,3.32,82.29,80.8,93.13,86.73,77.15,82.18,201,2.4,2941,25.84,46.41,60.86,74.26,4.71,8.46,11.09,13.53,77.9,4.43,6.89,5.29,2.96,3.02,2.85,65.66,5.05,27.69,3,340,94.12,64.29,2.35,12.35,1976,1.56,0.29,137700,171200,199400,61700,585,668,780,195,731,24.5,25.1,11.6,18,0,18.22,28.19,31.02,59.48,72.13,,,,,,,,,,,,,,,,,,4.4,3684.7,3.15,,,,,0,,,,,,,,,,,,556,3085.8,21,116.55,2,11.1,127.65,3446.55
Poquosoncity,VA,735,63768,11005,2.92,0.76,97.48,,,,,,7.49,11005,100,43236,84.85,1.01,54.04,20.6,1.54,22.2,48186,16930,17017,30940,7663,8563,38667,53827,309,2.84,5.46,15.64,29.42,2.91,68.46,15.32,25.47,8.36,34.91,5.94,23.44,7.84,6.91,3.18,85.31,82.93,92.32,89.36,60.93,70.86,54,0.71,231,3.03,5.63,15.58,16.88,0.06,0.12,0.33,0.35,95.75,0.26,3.34,2.81,2.9,2.92,2.77,83.47,0.98,20.77,3,121,96.89,82.7,3.31,50.41,1973,1.51,0.23,83400,113700,151600,68200,403,475,653,250,574,25.6,22.2,12.2,0,0,2.1,52.23,53.05,65.15,80.9,,,,,,,,,,,,,,,,,,16.1,684.6,0.44,,,,,0,,,,,,,,,,,,150,1271.08,5,42.37,2,16.95,355.9,1491.4
Roanokecity,VA,770,68000,96397,2.35,24.27,74.59,,,,,,15,96397,100,22591,73.4,0.51,32.62,32.93,8.82,15.96,28203,12513,14061,7949,9191,8480,4200,8192,15238,16.08,13.56,32.03,15.65,5.47,58.89,16.36,22.75,17.62,20.81,13.47,30.1,16.44,15.09,2.91,60.93,55.91,70.25,64.43,61.53,69.6,4860,6.48,1515,18.68,26.14,32.21,39.27,0.29,0.41,0.51,0.62,96.45,0.6,3.82,2.42,2.3,2.42,2.15,59.41,2.04,49.65,3,3354,92.44,56.63,4.5,34.62,1956,8.47,0.42,40000,54000,72600,32600,210,278,349,139,336,24.3,18.8,12.7,285,15,1.57,73.5,53.69,78.16,90.25,242,247.91,223,228.45,91565,93801.2,378.4,247.9,78.28,86.52,3,1.12,0,4.12,14,14,83.7,44.4,2168.8,2.96,87,9162440,92.15,0,5.79,93862.1,,,,,,,,,,,4398,4505.41,315,322.69,57,58.39,578.8,5007.38
Radfordcity,VA,750,65392,15940,3.06,6,91.86,,,,,,7.97,0,0,19487,80.72,0.23,41.36,24.08,5.44,12.26,31318,9704,9858,7120,0,10028,13154,5630,4152,32.21,11.84,24.56,29.06,6.07,44.64,18.06,38.96,13.55,31.54,5.23,59.29,6.35,5.86,2.91,73.58,71.81,91.4,75.7,57.56,71.6,89,1.27,438,34.47,44.75,53.65,55.25,0.95,1.23,1.47,1.52,94.96,0.5,2.62,1.69,2.48,2.53,2.44,48.77,0.86,39.72,3,289,94.74,47.84,2.08,35.99,1966,5.82,0.6,44300,64500,90800,46500,244,339,498,254,410,35.1,15.8,12.6,0,0,2.75,62.95,33.85,45.03,87.3,,,,,,,,,,,,,,,,,,10.2,1567,0,,,,,0,,,,,,,,,,,,339,2125.79,14,87.79,7,43.9,363.7,2627.45
Hopewellcity,VA,670,38424,23101,2.56,25.58,72.23,,,,,,11.83,23101,100,26934,76.46,0.56,29.11,26.95,7.39,21.08,31516,11897,13350,8088,5139,11083,3584,8720,3264,14.41,12.64,32.58,10.03,7.2,60.04,21.27,18.01,19.76,17.6,12.31,27.88,14.7,13.59,3.02,62.72,57.73,68.26,70.3,62.58,69.12,1179,6.07,598,9.87,9.87,17.22,23.08,0.26,0.26,0.45,0.6,94.97,0.43,4.34,3.11,2.53,2.58,2.46,58.1,2.74,40.08,3,611,93.65,56.93,3.11,34.53,1964,9.72,0.73,41800,54300,70300,28500,183,288,353,170,389,24.5,17.3,12.6,0,1,2.59,61.87,54.15,76.18,87.44,,,,,,,,,,,,,,,,,,10.6,2176.1,0.39,,,,,0,,,,,,,,,,,,1009,4085.19,37,149.8,33,133.61,708.53,5299.81
Winchestercity,VA,840,86720,21947,2.42,10.02,88.64,,,,,,13.71,0,0,26086,77.24,0.89,37.75,27.67,5.73,14.43,31974,14214,14913,8413,14852,13251,5962,7068,2364,11.3,14.9,31.17,18.78,4.77,64.7,20.42,21.05,18.38,25.43,13.13,30.86,15.23,14.24,2.94,70.69,67,72.84,74.45,72.68,79.17,594,3.9,556,12.77,30.94,41.73,47.12,0.32,0.78,1.06,1.19,96.34,0.33,3.29,2.07,2.31,2.43,2.21,47.83,2.48,48.05,3,724,92.62,45.38,2.35,22.79,1959,9.74,1,66300,89100,128200,61900,276,349,432,156,425,24.2,19.1,12.7,0,1,2.53,57.07,45.92,63.41,81.71,,,,,,,,,,,,,,,,,,9.7,2270.1,0.65,,,,,0,,,,,,,,,,,,1494,6215.94,54,224.67,7,29.12,711.46,7368.42
Hamptoncity,VA,650,35000,133793,2.69,38.85,58.41,,,,,,8.9,133793,100,30144,82.79,0.46,35.64,20.28,5.73,20.45,34291,13099,15039,10325,14300,11707,7811,11513,13831,10.82,6.84,20.31,19.07,5.87,64.86,18.75,22.94,11.97,24.88,10.82,30.76,13.57,12.25,3.07,70.94,66.18,77.15,73.44,60.96,70.7,4118,4.51,3858,11.53,20.84,28.07,35.25,0.33,0.6,0.81,1.02,94.8,0.65,3.88,2.79,2.58,2.65,2.48,60.89,2.72,41.34,3,3950,92.63,59.25,1.22,27.29,1966,5.23,0.27,63000,78200,97700,34700,303,385,471,168,470,26.1,22.4,13.2,18,1,2.88,47.36,45.63,66.09,77.87,204,144.65,181,128.34,126926,89996.7,622.2,144.6,75.08,83.33,16.67,0,0,16.67,18,8,33.6,53.7,2492.2,2.38,170,15176792,88.73,5,8.82,107610.9,,,,,,,,,,,5532,3922.46,561,397.78,73,51.76,455.92,5054.1
Williamsburgcity,VA,830,86160,11530,3.32,15.21,81.25,,,,,,10.29,11530,100,25393,75.83,0.77,54.93,26.43,5.79,19.3,36693,11822,12732,8605,6487,4858,1692,13220,1406,19.37,6.97,16.26,42.9,4.87,46.89,4.12,47.37,5.65,38.76,5.38,65.8,7.16,6.34,2.7,60.91,55.86,84.29,55.8,57.55,72.61,314,6.54,558,32.26,37.99,43.73,47.67,1.56,1.84,2.12,2.31,92.88,0.42,3,1.5,2.11,2.19,2.06,37.83,1.47,61.49,2,492,87.58,36.39,0.61,48.78,1970,4.56,0.45,85500,121000,198500,113000,353,428,519,166,492,28.3,20.3,12.1,0,0,4.84,36.7,23.89,30.95,70.68,,,,,,,,,,,,,,,,,,8.9,1292.6,1.05,,,,,0,,,,,,,,,,,,390,3074.26,29,228.6,1,7.88,212.83,3689.11
Christiansburgtown,VA,,,15004,2.5,5.31,94.3,,,,,,10.69,0,0,26171,78.16,0.53,36.1,26.2,6.92,14.01,31468,12045,12112,10683,0,16225,10692,15303,1616,10.92,16.4,31.37,17.22,4.01,66.17,25.32,25.94,18.73,25.9,9.87,24.07,14.23,12.22,2.92,74.15,72.15,89.34,67.53,68.03,76.67,127,1.1,57,0,17.54,17.54,29.82,0,0.07,0.07,0.11,98.61,0.2,2.06,1.53,2.47,2.55,2.29,69.83,1.18,38.22,3,256,95.92,67.49,0.39,40.62,1973,4.76,0.1,50100,65500,84200,34100,200,275,359,159,347,23.1,19.6,11.6,0,0,0.38,73.37,50.91,80.68,91.43,,,,,,,,,,,,,,,,,,14,1071.1,0.11,,,,,0,,,,,,,,,,,,716,4043.37,38,214.59,0,0,112.94,4743.62
Petersburgcity,VA,730,61832,38386,2.61,72.13,26.56,,,,,,13.6,38386,100,21309,73.47,0.55,21.44,32.36,12.38,23.39,27243,10547,15150,8859,7020,12730,6856,8181,7359,20.3,17.42,37.76,13.54,8.45,54.17,15.6,29.62,20.76,17.58,14.18,40.16,16.86,15.65,3.09,45.86,37.26,51.46,57.54,64.08,73.6,4101,12.99,707,12.31,20.93,20.93,25.88,0.23,0.39,0.39,0.48,95.73,0.59,6.5,4.2,2.46,2.54,2.39,52.43,4.3,52.56,2,1466,90.95,50.86,10.91,46.45,1962,14.22,0.63,37100,52000,69700,32600,164,257,346,182,360,27.7,21.4,12.7,10,10,1.84,74.23,53.24,78.54,91.07,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1720,4160.02,225,544.19,8,19.35,1332.66,6682.63
Waynesborocity,VA,820,83680,18549,2.45,9.43,89.93,,,,,,15.47,0,0,26668,74.43,1.66,41.08,31.61,5.44,22.21,32194,13469,14049,8758,9005,9256,6240,12672,2059,11.39,14.05,28.82,18.19,4.82,58.1,33.91,20.36,22.33,23.98,10.92,25.41,14.95,13.08,2.88,70.49,64.31,71.45,73.29,62.14,70.11,394,2.52,400,7.75,7.75,27.5,44.75,0.17,0.17,0.59,0.97,96.49,0.3,2.79,2,2.4,2.45,2.3,63.72,1.84,44.2,3,334,95.77,62.26,2.69,24.25,1960,7.98,0.67,49400,68100,93900,44500,225,297,367,142,374,22.4,18.3,12.7,0,0,2.16,69.32,55.26,75.55,89.48,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,597,3152.56,57,301,5,26.4,337.96,4198.13
Norfolkcity,VA,710,57000,261229,2.92,39.05,56.74,,,,,,9.63,261229,100,23563,78.8,0.41,29.49,24.1,9.33,18.3,26818,11643,14699,7504,10944,8746,8291,9511,43944,19.32,8.78,27.31,16.82,6.1,64.57,10.28,24.12,14.05,23.29,10.78,45.21,15.33,12.87,3.12,62.76,55.53,72.45,58.3,54.88,62.4,15750,9.62,9766,18.72,28.07,36.68,45.89,0.7,1.05,1.37,1.72,92.82,0.73,6.13,4.02,2.55,2.58,2.53,44.52,5.32,57.54,2,9284,90.6,44.02,3.94,30.95,1958,10.51,0.35,60700,74500,97100,36400,276,361,438,162,438,28.5,23.4,13.5,253,29,3.74,45.69,39.31,62.4,71.19,680,278.85,608,249.33,313643,128617.6,461.2,278.9,68.51,88.24,10.59,0.74,0.44,11.76,52,7,67.5,,,,,,89.41,5,7.65,105828,,,,,,,,,,,13535,5550.38,2173,891.1,135,55.36,1135.5,8027.25
Danvillecity,VA,590,21344,53056,2.44,36.62,62.66,,,,,,16.83,53056,100,20413,71.52,0.68,30.55,36.54,9.47,18.31,27752,11344,13725,7340,7093,9510,3000,13418,9795,18.96,20.69,42.55,12.42,8.71,54.71,33.75,21.29,28.08,19.44,12,28.43,15.24,13.8,2.96,60.31,53.99,59.36,59.43,68.72,74.42,3041,6.59,359,4.46,8.91,14.48,18.94,0.03,0.06,0.1,0.13,97.4,0.45,4.1,2.78,2.38,2.43,2.3,60.72,2.57,50.75,2,1585,93.2,59.44,6.5,51.74,1957,10.52,0.85,32500,47000,65800,33300,130,195,267,137,278,23.6,16.4,12.7,61,0,0.68,77.66,59.51,81.4,92.62,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1622,2961.31,82,149.71,17,31.04,385.23,3850.44
FrontRoyaltown,VA,,,11880,2.53,8.43,90.66,,,,,,14.65,0,0,26777,75.69,0.73,31.35,33.16,6.53,18.55,31531,12062,12299,9788,3956,25571,4637,9253,1070,9.21,19.45,41.92,8.06,6.16,60.67,12.73,20.15,16.35,17.76,11.6,26.11,13.33,12.52,3.03,71.9,67.06,89.05,73.18,68.15,72.71,180,1.85,161,3.11,3.11,23.6,23.6,0.04,0.04,0.32,0.32,96.6,0.58,4.3,2.94,2.49,2.57,2.37,62.27,2.21,42.87,3,284,94.3,60.33,3.52,44.37,1964,8.09,0.68,63000,81000,105400,42400,252,336,417,165,411,22.9,21.9,11.7,0,0,1.36,72.3,52.55,78.6,91.72,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,455,3356.45,25,184.42,4,29.51,177.04,4086.75
Richmondcity,VA,760,67000,203056,2.38,55.22,43.35,,,,,,13.66,203056,100,23551,74.21,0.46,31.91,28.24,10.18,15.96,29021,13993,20876,8676,16087,9641,12168,11581,40103,20.89,12.2,31.91,24.24,6.43,58.44,12.18,27.61,14.02,27.35,14.48,42.45,16.82,15.77,2.97,45.21,38.54,54.76,49.69,63.65,70.49,18852,13.21,3720,15.08,25.16,34.33,42.9,0.28,0.46,0.63,0.79,96,0.4,5.14,2.88,2.25,2.39,2.12,49.25,3.06,57.24,2,8804,90.65,46.3,10.89,40.3,1953,8.45,0.6,47700,66600,98200,50500,232,333,424,192,413,27.5,21.4,14.5,287,3,1.83,70.47,49.59,77.75,89.86,646,318.02,588,289.47,880656,433536.59,1363.2,318,70.3,72.6,26.01,1.39,0,27.24,30,11,73.7,,,,,,91.02,5,4.64,156498,,,,,,,,,,,11571,5696.27,2215,1090.42,170,83.69,1617.17,9371.69
