communityName,state,countyCode,communityCode,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop,latitude,longitude
ScotchPlainstownship,NJ,39,66060,21160,2.79,11.1,83.79,4.57,2.83,11.38,23.62,10.91,12.65,21160,100,58194,85.08,1.75,64.95,24.94,2.35,16.17,64920,27093,28517,18729,40576,21945,13857,17816,313,1.49,4.57,12.02,41.42,3.75,67.53,14.49,28.02,6.01,42.09,5,27.54,7.81,6.47,3.13,86.47,83.94,96.9,86.91,55.65,65.23,96,0.67,2311,9.91,14.28,21.46,33.58,1.08,1.56,2.34,3.67,85.29,1.53,3.96,3.21,2.77,2.91,2.13,85.73,0.92,25.64,3,198,97.46,81.45,2.53,46.46,1957,0.41,0.28,168700,206900,284900,116200,618,702,813,195,782,23.5,21.1,15,0,0,10.92,58.63,70.79,81.71,90.89,,,,,,,,,,,,,,,,,,9.4,2250.1,7.6,,,,,0,,1,4.61,3,13.82,12,55.27,9,41.45,102,469.79,276,1271.19,89,409.91,2,9.21,115.14,2160.1,39.41711177941176,-95.32618538823529
Newingtontown,CT,3,52140,29208,2.6,1.41,96.54,1.4,2.1,11.37,23.38,11.09,15.64,29208,100,45481,82.11,0.33,60.89,31.36,2.87,21.71,50916,19668,19718,19828,8154,15573,19962,16970,513,1.79,8.71,20.02,24.89,3.44,67.54,15.61,24.08,8.43,32.55,7.02,28.45,9.91,8.57,3.01,82.24,81.3,94.23,79.27,70.91,79.94,185,0.85,3194,4.85,7.51,14.46,18.44,0.53,0.82,1.58,2.02,82.18,2.51,3.04,2.25,2.56,2.65,2.13,84.14,0.88,42.36,3,386,96.67,81,0.26,36.79,1964,0.25,0.19,139000,165800,195100,56100,515,649,732,217,716,24.7,21.5,12.8,0,0,10.94,66.78,64.52,90.85,93.45,,,,,,,,,,,,,,,,,,13.7,2139.7,1.46,,,,,0,,0,0,4,13.68,3,10.26,16,54.72,144,492.44,784,2681.08,110,376.17,1,3.42,78.65,3553.11,43.44301283425926,-91.5271396074074
Gallowaytownship,NJ,1,25560,23330,2.94,7.36,88.58,2.67,3.69,17.84,34.05,18.86,6.76,14937,64.02,41944,87.6,0.57,36.52,18.29,3.11,12.87,45986,16302,16234,17942,15871,16840,10114,12351,927,4.35,5.04,18.12,20.42,4.1,69.92,5.53,17.93,9.45,23.81,8.22,36.33,10.33,9.3,3.13,79.01,75.91,88.27,78.78,63.41,71.3,330,2.48,970,6.08,13.09,25.46,28.87,0.25,0.54,1.06,1.2,90.82,1,4.35,3.14,2.69,2.8,2.45,71.76,2.19,47.98,3,932,89.49,68.94,0.86,38.3,1982,1.68,0.42,86200,111300,142800,56600,548,619,675,127,727,24.3,23.1,12.8,0,0,4.16,62.31,40.26,66.89,88.65,,,,,,,,,,,,,,,,,,93.6,249.1,1.66,,,,,0,,1,4.19,5,20.94,10,41.87,44,184.24,266,1113.81,557,2332.3,46,192.61,7,29.31,251.24,3668.03,38.45451448993711,-81.9060787408805
Hulltown,MA,23,31645,10466,2.76,0.89,98.1,0.64,1.08,12.65,27.85,12.66,9.99,10466,100,37683,82.3,0.16,37.59,23.68,7.14,13.67,42734,16907,17090,9295,26321,10134,930,6835,838,8.02,3.69,14.63,19.66,7.31,65.59,11.39,22.02,11.41,29.52,10.51,36.62,14.04,12.32,3.24,70.43,67.48,89.89,69.84,50.68,65.72,213,2.85,564,3.72,8.33,15.6,23.58,0.2,0.45,0.84,1.27,91.99,1.02,7.07,5.1,2.73,2.85,2.5,69.74,1.21,37.96,3,1468,72.07,66.9,13.56,56.4,1945,1.11,1.2,125900,152800,192200,66300,509,658,842,333,797,29.4,24,12.9,56,0,5.39,78.48,59.52,74.64,92.12,,,,,,,,,,,,,,,,,,3.1,3397.6,8.66,,,,,0,,0,0,6,53.92,0,0,93,835.73,105,943.57,101,907.62,18,161.75,3,26.96,889.65,2039.9,30.9524238127572,-83.23555277201646
Rutherfordborough,NJ,3,65280,17790,2.66,3.01,89.39,6.45,5.78,13.83,26.56,14.04,14.38,17790,100,46499,79.61,0.47,61.29,33.05,2.85,18.89,55878,20579,21350,13332,0,14364,14682,16028,637,3.68,7.01,16.92,32.44,4.17,62.97,15.59,22.68,8.9,35.29,5.77,35.32,8.77,7.38,3.17,84.36,83.65,90.18,90.84,57.16,69.23,156,1.33,2857,16.94,22.23,30.1,34.93,2.72,3.57,4.83,5.61,80.05,3.21,5.08,3.55,2.59,2.84,2.05,74.78,2,45.19,3,536,92.58,68.15,2.99,42.16,1939,1.09,0.14,181000,206200,241300,60300,489,618,732,243,681,24.9,21.6,15.6,5,0,16.06,60.14,68.6,79.74,88.58,,,,,,,,,,,,,,,,,,2.9,6118.4,18.82,,,,,0,,0,0,2,11.23,5,28.07,16,89.83,50,280.71,246,1381.09,75,421.06,2,11.23,129.13,2094.09,39.214831339999996,-91.72971937999999
Lancastertownship,PA,71,41224,13187,2.47,3.03,93.76,1.36,3.4,10.16,23.25,10.96,18.77,12895,97.79,35855,76.78,0.32,61.86,30.74,4.14,21.23,42245,18645,19257,11353,0,6595,9899,9070,771,6.27,10.36,21.66,27.84,3.31,62.15,22.62,29.11,14.22,32.72,8.14,24.65,10.71,9.55,2.81,77.84,75.4,85.65,73.14,70.99,75.28,169,1.77,696,15.52,25.43,30.17,37.79,0.82,1.34,1.59,1.99,89.75,0.76,2.85,1.89,2.32,2.57,1.95,65.72,1.16,40.69,3,199,96.4,59.31,0.5,25.63,1961,0.41,0.09,70700,92700,140300,69600,403,458,535,132,534,25.1,20.2,11.7,0,0,5.28,74.75,49.01,82.92,89.32,,,,,,,,,,,,,,,,,,6.3,2104.5,1.68,,,,,0,,0,0,0,0,7,52.19,3,22.37,79,589.02,307,2288.99,38,283.33,3,22.37,74.56,3183.72,37.86616254,-82.53498005
GrandForkscity,ND,35,32060,49425,2.67,0.8,95.49,1.07,1.19,20.6,38.87,24.1,7.87,49425,100,25456,83.71,2.25,45.03,18.9,4.64,9.83,32417,11902,12096,10578,6096,9944,5528,6559,6526,14.48,7.24,14.24,29.28,5.08,66.75,6.38,35.22,11.28,30.59,6.77,43.87,9.78,8.28,3.07,75.26,76.33,83.86,78.54,73.58,77.17,629,1.95,1112,33.63,42.9,48.38,54.23,0.76,0.97,1.09,1.22,94.35,0.3,3.6,2.32,2.43,2.84,2.04,56.93,1.98,57.07,2,1058,94.6,48.71,0.85,20.51,1968,2.77,0.45,50800,64700,81800,31000,234,320,391,157,367,26.1,20.5,12.1,70,0,2.25,62.7,41.07,66.59,80.46,,,,,,,,,,,,,,,,,,15,3304.7,0.95,,,,,0,,0,0,19,37.7,14,27.78,28,55.55,234,464.26,2202,4368.79,195,386.88,14,27.78,121.02,5247.7,30.2826690583501,-83.03895865352114
NewHaventown,CT,9,52070,130474,2.66,36.14,53.85,2.41,13.22,17.06,34.55,19.17,10.81,130474,100,25811,73.04,0.47,37.07,26.28,14.61,12.75,31163,12968,16127,9616,7750,11739,7014,7420,25481,21.29,11.86,28.97,26.7,9.25,56.71,16.41,37.38,14.02,30,10.37,50.43,14.2,12.44,3.16,45.44,38.63,53.9,44.87,50.49,60.14,12972,15.07,10633,23.59,31.16,38.39,46.52,1.92,2.54,3.13,3.79,79.35,3.93,7.07,4.13,2.41,2.65,2.3,34.96,4.9,67.53,2,5071,90.62,31.78,10.18,32.97,1943,7.53,0.49,110400,145000,189200,78800,332,487,594,262,568,30,23.5,14.9,1344,16,8.15,53.51,45.53,77.29,81.55,390,326.08,350,292.63,145000,121233.4,371.8,326.1,74.62,79.23,17.44,3.33,0,20.77,12,10,167.4,19.5,6679.9,9.54,100,17939552,89.74,5,3.08,149991.2,22,18.39,130,108.69,1238,1035.08,1154,964.85,3417,2856.93,7719,6453.8,1873,1566,134,112.04,2127.02,10988.76,42.05277986875,-90.2051180125
Menomoniecity,WI,33,51025,13547,3.13,1.2,94.56,3.5,0.82,31.69,52.12,42.5,9.81,0,0,21392,76.91,0.99,53.73,26.53,6.35,14.03,31331,9573,9874,3661,5860,2605,11646,8089,3066,28.82,12.93,19.79,30.23,7.56,54.07,16,29.64,11.01,26.8,4.27,60.91,6.21,5.29,2.99,75.39,75.76,77.8,70.89,64.79,71.28,172,2.52,446,31.61,35.43,48.43,57.17,1.04,1.17,1.59,1.88,94.38,0.85,3.8,3.93,2.46,2.51,2.42,45.57,2.54,54.17,2,216,95.24,44.64,0.46,39.81,1966,1.36,0.15,40900,53400,69400,28500,227,297,381,154,366,32,16.3,12.8,6,0,3.29,62.41,31.89,47.27,77.2,,,,,,,,,,,,,,,,,,11.7,1161.2,0.22,,,,,0,,0,0,2,13.29,2,13.29,2,13.29,108,717.66,787,5229.58,35,232.57,3,19.93,39.87,6199.75,42.485563197727274,-95.55503633636364
NorthBrunswicktownship,NJ,23,52560,31287,2.71,11.07,80.05,6.81,5.81,13.41,29.96,14.37,8.64,31287,100,49900,87.07,0.56,53.16,20.78,3.06,12.25,57156,21734,22709,16857,15970,21284,12197,14576,786,2.67,6.11,16.13,32.71,3.08,70.47,19.2,22.93,11.37,33.94,7.57,34.89,10.25,8.91,3.04,81.65,79.76,91.14,86.01,67.83,74.43,478,2.71,4686,15.39,26.12,35.02,42.77,2.3,3.91,5.24,6.41,79.26,3.33,3.43,2.48,2.55,2.77,2.16,69.98,2.88,55.58,2,631,94.82,64.55,1.11,29.32,1975,0.62,0.12,142900,179800,235100,92200,558,662,807,249,735,24.9,23.1,15.4,8,0,14.98,54.61,48.19,73.61,84.95,,,,,,,,,,,,,,,,,,12.5,2508.1,8.09,,,,,0,,0,0,7,21.47,42,128.85,45,138.05,258,791.48,748,2294.69,175,536.86,8,24.54,288.37,3647.57,40.813735832,-92.17668672799999
Richfieldcity,MN,53,54214,35710,2.3,2.61,93.49,2.81,1.07,10.55,26.37,12.16,15.75,35710,100,32405,79.89,0.48,53.98,29.94,4.4,19.53,39977,15992,16425,10234,8998,8594,17976,11804,1969,5.55,4.34,11.92,20.91,3.61,68.81,16.33,22.03,12.22,25.24,9.26,31.14,11.61,10.51,2.85,73.49,74.37,85.37,72.93,74.61,80.98,503,1.93,1406,8.89,14.65,25.11,52.2,0.35,0.58,0.99,2.06,94.5,0.73,2.81,1.77,2.29,2.53,1.79,74.06,1.64,50.99,2,543,96.63,66.92,0.18,18.05,1956,0.85,0,74600,84800,94700,20100,394,438,521,127,457,27,20.3,11.4,0,0,3.94,69.35,58.81,84.59,91.27,,,,,,,,,,,,,,,,,,7.1,5009.5,6.04,,,,,0,,0,0,,,39,112.22,69,198.54,372,1070.38,1126,3239.91,167,480.52,5,14.39,,4805.2,44.1970661,-87.7095027
Superiorcity,WI,31,78650,27134,2.47,0.53,96.09,0.84,0.52,14.51,26.47,13.78,15.12,27134,100,20905,69.17,0.2,41.01,35.36,12.76,15.19,26552,10769,10964,8655,7206,2089,3583,7807,4450,17.1,8.04,22.68,15.93,9.73,54.86,10.52,29.31,15.07,21.55,10.51,32.75,13.37,12.05,2.98,64.68,64.84,71.73,65.8,57.44,67.47,606,2.57,453,8.61,12.14,23.18,26.93,0.14,0.2,0.39,0.45,96.73,0.52,3.17,2.05,2.36,2.55,2.07,66.06,1.1,48.92,3,683,94.15,61.19,9.08,38.36,1939,3.59,0.47,26700,37300,51700,25000,168,238,302,134,295,27.5,18.4,13.4,13,0,1.67,59.59,58.23,85.26,89.4,,,,,,,,,,,,,,,,,,38.3,709,1.77,,,,,0,,1,3.6,17,61.22,15,54.02,43,154.85,347,1249.64,1403,5052.58,100,360.13,29,104.44,273.7,6766.78,30.285829371428573,-97.23138042857143
Monroecity,MI,115,55020,22902,2.72,4.62,93.26,0.84,1.81,13.85,26.44,12.6,12.96,0,0,29088,73.08,0.56,41.94,29.24,13.49,17.67,35364,13146,13323,12601,4532,11086,4090,6141,3443,15.39,12.86,30.11,14.23,7.38,53.96,25.38,23.21,20.83,22.35,9.87,28.67,12.43,11.28,3.18,69.43,67.56,67.65,75.44,51.06,60.79,860,4.38,554,25.81,30.87,35.74,37.73,0.62,0.75,0.86,0.91,94.74,0.85,4.91,3.5,2.62,2.76,2.4,63.65,2.1,42.99,3,410,95.36,60.39,3.41,35.61,1947,4.08,0.1,49200,65100,84400,35200,259,347,427,168,412,28.8,15.6,14.3,14,0,2.42,70.33,58.47,87.55,92.57,,,,,,,,,,,,,,,,,,9.3,2458.4,0.5,,,,,0,,0,0,,,22,93.43,94,399.2,200,849.37,737,3129.91,56,237.82,13,55.21,,4272.31,44.57401843333333,-93.34546746161615
