communityName,state,countyCode,communityCode,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,PopDens,LandArea,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
Salemcity,VA,775,70000,23756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575.7,15.1,0.06,,,,,0,,12,13,14,15,16,17,18,19,20,21,607,2481.5,23,94.03,9,36.79,102.2,2959.81
Herndontown,VA,,,16139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3684.7,4.4,3.15,,,,,0,,13,14,15,16,17,18,19,20,21,22,556,3085.8,21,116.55,2,11.1,127.65,3446.55
Poquosoncity,VA,735,63768,11005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.6,16.1,0.44,,,,,0,,14,15,16,17,18,19,20,21,22,23,150,1271.08,5,42.37,2,16.95,355.9,1491.4
Roanokecity,VA,770,68000,96397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2168.8,44.4,2.96,87,9162440,92.15,0,5.79,93862.1,15,16,17,18,19,20,21,22,23,24,4398,4505.41,315,322.69,57,58.39,578.8,5007.38
Radfordcity,VA,750,65392,15940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567,10.2,0,,,,,0,,16,17,18,19,20,21,22,23,24,25,339,2125.79,14,87.79,7,43.9,363.7,2627.45
Hopewellcity,VA,670,38424,23101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2176.1,10.6,0.39,,,,,0,,17,18,19,20,21,22,23,24,25,26,1009,4085.19,37,149.8,33,133.61,708.53,5299.81
Winchestercity,VA,840,86720,21947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2270.1,9.7,0.65,,,,,0,,18,19,20,21,22,23,24,25,26,27,1494,6215.94,54,224.67,7,29.12,711.46,7368.42
Hamptoncity,VA,650,35000,133793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2492.2,53.7,2.38,170,15176792,88.73,5,8.82,107610.9,19,20,21,22,23,24,25,26,27,28,5532,3922.46,561,397.78,73,51.76,455.92,5054.1
Williamsburgcity,VA,830,86160,11530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292.6,8.9,1.05,,,,,0,,20,21,22,23,24,25,26,27,28,29,390,3074.26,29,228.6,1,7.88,212.83,3689.11
Christiansburgtown,VA,,,15004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071.1,14,0.11,,,,,0,,21,22,23,24,25,26,27,28,29,30,716,4043.37,38,214.59,0,0,112.94,4743.62
Petersburgcity,VA,730,61832,38386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,22,23,24,25,26,27,28,29,30,31,1720,4160.02,225,544.19,8,19.35,1332.66,6682.63
Waynesborocity,VA,820,83680,18549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,23,24,25,26,27,28,29,30,31,32,597,3152.56,57,301,5,26.4,337.96,4198.13
Norfolkcity,VA,710,57000,261229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.41,5,7.65,105828,24,25,26,27,28,29,30,31,32,33,13535,5550.38,2173,891.1,135,55.36,1135.5,8027.25
Danvillecity,VA,590,21344,53056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,25,26,27,28,29,30,31,32,33,34,1622,2961.31,82,149.71,17,31.04,385.23,3850.44
FrontRoyaltown,VA,,,11880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,26,27,28,29,30,31,32,33,34,35,455,3356.45,25,184.42,4,29.51,177.04,4086.75
Richmondcity,VA,760,67000,203056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.02,5,4.64,156498,27,28,29,30,31,32,33,34,35,36,11571,5696.27,2215,1090.42,170,83.69,1617.17,9371.69
Stauntoncity,VA,790,75216,24461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,28,29,30,31,32,33,34,35,36,37,625,2491.03,21,83.7,2,7.97,171.38,3021.12
Alexandriacity,VA,510,1000,111183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.55,0,10.12,192440.3,29,30,31,32,33,34,35,36,37,38,5682,4983.55,969,849.89,31,27.19,659.56,6668.42
Leesburgtown,VA,,,16202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.38,10,5.03,503994.31,30,31,32,33,34,35,36,37,38,39,408,2042.45,23,115.14,1,5.01,150.18,2432.92
Chesapeakecity,VA,550,16000,151976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.74,10,4.6,44686,31,32,33,34,35,36,37,38,39,40,4958,2718.28,490,268.65,95,52.08,430.93,3922.8
Portsmouthcity,VA,740,64000,103907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3026.2,34.3,3.49,181,10538438,80.68,0,6.76,100841.5,33,31.58,56,53.59,746,713.84,532,509.07,1720,1645.85,5008,4792.12,1252,1198.03,127,121.53,1308.07,7757.52
Blacksburgtown,VA,,,34590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1779.3,19.4,6.36,,,,,0,,0,0,13,36.53,4,11.24,23,64.63,137,384.99,647,1818.18,14,39.34,0,0,112.41,2242.52
VirginiaBeachcity,VA,810,82000,393069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527.9,257.3,0.75,366,35618344,91.46,10,7.87,81701.1,22,5.05,181,41.52,631,144.74,414,94.96,3261,748.01,14812,3397.57,1195,274.11,200,45.88,286.27,4465.56
Parkersburgcity,WV,,,33862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2926.2,11.6,0.9,,,,,0,,3,9.03,12,36.13,18,54.2,39,117.43,347,1044.87,820,2469.14,66,198.74,37,111.41,216.8,3824.15
Weirtoncity,WV,,,22124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190,18.6,0.91,,,,,0,,1,4.64,3,13.92,4,18.56,44,204.16,115,533.59,288,1336.3,32,148.48,3,13.92,241.28,2032.29
Bluefieldcity,WV,,,12756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461.5,8.7,1.25,,,,,0,,1,7.92,1,7.92,14,110.81,25,197.88,99,783.6,249,1970.87,13,102.9,0,0,324.52,2857.37
Wheelingcity,WV,,,34882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2440.7,14.3,4.19,,,,,0,,1,2.93,12,35.21,56,164.32,113,331.57,388,1138.5,557,1634.39,88,258.22,10,29.34,534.04,3060.45
Moundsvillecity,WV,,,10753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3623,3,0.11,,,,,0,,0,0,0,0,1,9.23,3,27.69,80,738.28,278,2565.52,34,313.77,0,0,36.91,3617.57
Clarksburgcity,WV,,,18059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2219.6,8.1,2.14,,,,,0,,0,0,5,28.19,3,16.91,7,39.47,73,411.59,365,2057.96,27,152.23,1,5.64,84.57,2627.42
Morgantowncity,WV,,,25879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3226.8,8,2.45,,,,,0,,0,0,24,90.21,13,48.86,59,221.77,208,781.84,1008,3788.9,50,187.94,7,26.31,360.85,4784.99
Martinsburgcity,WV,,,14073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3009.6,4.7,2.03,,,,,0,,3,20.04,0,0,20,133.6,35,233.8,202,1349.37,927,6192.38,65,434.2,15,100.2,387.44,8076.15
Huntingtoncity,WV,,,54844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3553,15.4,1.64,50,2380215,93.07,0,11.88,44106.6,2,3.71,61,113.04,83,153.8,158,292.78,787,1458.35,2259,4186.05,136,252.02,33,61.15,563.33,5957.57
Beckleycity,WV,,,18296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963.1,9.3,0.06,,,,,0,,3,16.2,13,70.22,46,248.47,160,864.26,248,1339.6,1175,6346.89,64,345.7,12,64.82,1199.16,8097.01
Fairmontcity,WV,,,20210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2592.4,7.8,0.77,,,,,0,,0,0,1,4.83,12,57.99,95,459.07,119,575.05,614,2967.04,29,140.14,0,0,521.89,3682.23
SouthCharlestoncity,WV,,,13645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2517.5,5.4,1.83,,,,,0,,1,7.43,2,14.87,12,89.2,13,96.63,51,379.1,304,2259.72,36,267.6,2,14.87,208.13,2921.28
Charlestoncity,WV,,,57287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1876.5,30.5,5.26,102,5400000,81.01,0,10.13,96078.6,16,28.47,51,90.74,290,515.98,412,733.04,1293,2300.55,4228,7522.6,454,807.77,84,149.46,1368.23,10780.37
Viennacity,WV,,,10862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2816.9,3.9,0.72,,,,,0,,0,0,0,0,1,9.04,2,18.07,15,135.55,274,2476.05,6,54.22,2,18.07,27.11,2683.9
